_id,Length,Specimen
9,232.39782,9
2,521.81296,2
6,184.78388,6
15,204.93398,15
1,368.6722,1
10,239.26378,10
3,226.57668,3
14,295.23628,14
23,263.89168,23
4,273.81747,4
20,217.32256,20
7,202.76971,7
27,259.04073,27
24,496.21487,24
5,188.96316,5
32,250.23439,32
16,224.41241,16
28,246.72678,28
25,286.05679,25
8,598.75649,8
33,200.97859,33
18,269.56356,18
30,209.11326,30
26,216.94941,26
11,237.17414,11
36,383.5982,36
22,447.10833,22
42,257.69739,42
31,206.42658,31
12,226.94983,12
38,199.11284,38
29,208.14307,29
45,155.30503,45
34,174.85809,34
13,335.23796,13
39,232.39782,39
41,237.17414,41
51,416.4354,51
37,253.742,37
17,232.39782,17
49,284.48956,49
44,494.72227,44
59,385.24006,59
40,226.94983,40
19,179.70904,19
53,373.15,53
52,351.5073,52
62,231.50226,62
50,234.18894,50
21,216.94941,21
58,243.06991,58
55,276.131,55
66,267.02614,66
54,281.3551,54
35,234.18894,35
64,256.80183,64
57,232.17393,57
68,365.76163,68
56,202.02341,56
43,280.45954,43
77,590.02478,77
74,538.67934,74
70,233.29338,70
60,217.54645,60
46,248.44327,46
80,201.501,80
75,237.54729,75
72,208.964,72
63,309.56524,63
47,253.742,47
86,387.10581,86
82,398.97198,82
78,294.0422,78
65,250.30902,65
48,279.71324,48
88,225.60649,88
85,373.44852,85
81,263.74242,81
71,196.35153,71
61,217.54645,61
93,241.72657,93
87,257.02572,87
84,242.99528,84
83,246.72678,83
67,364.79144,67
98,271.35468,98
101,355.46269,101
91,202.02341,91
94,324.04346,94
69,219.48683,69
100,243.06991,100
104,250.7568,104
92,380.53837,92
95,276.50415,95
73,216.94941,73
105,328.44663,105
107,246.279,107
97,273.66821,97
96,347.92506,96
76,227.84539,76
113,333.14832,113
108,216.427,108
109,190.67965,109
99,287.10161,99
79,233.29338,79
125,224.03926,125
124,229.93503,124
112,190.3065,112
102,248.5179,102
89,234.3382,89
128,254.18978,128
131,358.89567,131
115,238.14433,115
106,238.96526,106
90,290.68385,90
137,300.16186,137
132,248.07012,132
121,250.30902,121
110,207.32214,110
103,247.32382,103
152,180.52997,152
134,194.63504,134
129,186.575,129
114,228.96484,114
111,224.03926,111
154,202.9936,154
136,209.11326,136
135,202.9936,135
118,216.427,118
116,263.89168,116
159,198.29191,159
138,190.67965,138
145,227.32298,145
122,278.66842,122
117,188.96316,117
161,225.00945,161
139,197.62024,139
146,232.39782,146
130,151.12575,130
119,281.05658,119
163,286.05679,163
141,288.0718,141
148,263.89168,148
133,179.70904,133
120,194.63504,120
180,382.1056,180
150,438.8244,150
149,210.68049,149
156,418.00263,156
123,214.85977,123
184,220.38239,184
151,187.17204,151
166,253.742,166
158,228.96484,158
126,238.96526,126
185,306.05763,185
153,185.38092,153
169,176.94773,169
167,294.0422,167
127,208.964,127
213,356.05973,213
157,209.11326,157
171,442.10812,171
168,259.63777,168
140,238.816,140
217,203.66527,217
162,228.44243,162
173,253.742,173
170,323.07327,170
142,247.09993,142
218,211.05364,218
164,249.11494,164
177,396.58382,177
174,238.96526,174
143,709.95519,143
229,248.07012,229
172,257.32424,172
179,268.668,179
178,291.43015,178
144,250.7568,144
231,376.50835,231
175,316.65509,175
182,329.1183,182
181,203.81453,181
147,274.41451,147
233,179.41052,233
176,217.54645,176
187,273.29506,187
186,283.96715,186
155,213.81495,155
235,191.87373,235
196,354.64176,196
188,257.32424,188
192,283.22085,192
160,232.39782,160
237,211.35216,237
197,313.29674,197
190,258.74221,190
199,281.05658,199
165,202.02341,165
239,320.98363,239
201,561.88927,201
191,225.00945,191
200,396.73308,200
183,316.80435,183
245,203.66527,245
203,262.17519,203
193,512.40958,193
205,362.7018,205
189,326.43162,189
247,253.81663,247
212,370.53795,212
194,228.29317,194
208,325.98384,208
204,438.97366,204
251,390.53879,251
214,241.12953,214
195,289.78829,195
209,224.48704,209
210,186.575,210
252,546.66475,252
215,238.96526,215
198,497.85673,198
222,188.36612,222
219,216.94941,219
253,350.83563,253
216,265.01113,216
202,242.17435,202
228,374.34408,228
221,224.03926,221
257,256.50331,257
220,479.1246,220
206,269.19041,206
230,298.59463,230
244,455.69078,244
264,239.86082,264
223,250.90606,223
207,514.05144,207
238,272.3995,238
250,216.94941,250
267,275.23544,267
232,336.13352,232
211,208.14307,211
243,327.32718,243
256,190.3065,256
269,179.70904,269
234,191.27669,234
224,170.52955,224
246,222.62129,246
268,340.46206,268
279,398.89735,279
236,216.94941,236
225,324.04346,225
255,208.14307,255
273,274.41451,273
285,291.13163,285
241,179.70904,241
226,186.575,226
259,195.90375,259
278,207.32214,278
286,224.48704,286
242,205.90417,242
227,240.68175,227
260,219.48683,260
280,209.11326,280
248,211.35216,248
240,247.09993,240
261,228.96484,261
281,171.79826,281
258,221.6511,258
249,312.55044,249
262,215.23292,262
297,427.25675,297
263,244.7864,263
254,240.90564,254
271,281.3551,271
300,187.02278,300
275,190.3065,275
265,231.50226,265
272,381.21004,272
283,186.575,283
266,224.03926,266
277,311.87877,277
289,257.32424,289
270,248.5179,270
284,213.74032,284
292,430.09269,292
274,220.97943,274
287,207.4714,287
294,201.65026,294
276,182.99276,276
290,217.54645,290
296,644.43005,296
282,201.65026,282
295,210.30734,295
299,314.86397,299
288,238.96526,288
298,335.90963,298
291,179.41052,291
293,298.59463,293
